"","fullname","playerID","yearID","teamID","lgID","salary","percent_positive_ab","percent_NAB","PA","salary_per_NAB","salary_per_Good_AB","diff_salary_good_vs_bad","fit.cluster","team_payroll","total_salary_NAB","total_salary_GAB","W","diff_payroll"
"42","Matt   Adams","adamsma01",2013,"SLN","NL",490000,0.335423197492163,0.278996865203762,319,136708.463949843,164357.36677116,27648.9028213166,1,51892110,8960429.43204962,19232424.6872578,97,10271995.2552081
"43","Matt   Adams","adamsma01",2016,"SLN","NL",1650000,0.320121951219512,0.26219512195122,328,432621.951219512,528201.219512195,95579.2682926829,1,67907500,13941119.2309113,22873441.2115216,86,8932321.98061031
"44","Matt   Adams","adamsma01",2014,"SLN","NL",516000,0.339788732394366,0.216549295774648,568,111739.436619718,175330.985915493,63591.5492957747,1,61027000,11303654.1937539,21373096.7412609,90,10069442.5475069
"45","Matt   Adams","adamsma01",2015,"SLN","NL",534000,0.288770053475936,0.224598930481283,187,119935.828877005,154203.20855615,34267.3796791444,1,69186000,13349897.9729975,24860669.6715103,100,11510771.6985128
"46","Russ   Adams","adamsru01",2006,"TOR","AL",343000,0.292418772563177,0.166064981949458,277,56960.2888086643,100299.63898917,43339.3501805054,1,38378000,7210719.80078482,13893058.0780051,87,6682338.2772203
"47","Russ   Adams","adamsru01",2005,"TOR","AL",316000,0.340699815837937,0.114180478821363,543,36081.0313075506,107661.141804788,71580.1104972376,1,19894000,3633536.77016201,6962563.26957234,80,3329026.49941033
"48","Jim   Adduci","adducji02",2014,"TEX","AL",501000,0.256637168141593,0.256637168141593,113,128575.221238938,128575.221238938,0,1,85765232,16581944.811308,31243798.7128573,67,14661853.9015492
"49","Ehire   Adrianza","adriaeh01",2014,"SFN","NL",500500,0.295238095238095,0.228571428571429,105,114400,147766.666666667,33366.6666666667,1,62648500,11730283.7935282,21660749.8866917,88,9930466.09316353
"50","Benny   Agbayani","agbaybe01",2000,"NYN","NL",220000,0.401442307692308,0.177884615384615,416,39134.6153846154,88317.3076923077,49182.6923076923,1,43620595,7348271.8129575,16578508.6445103,94,9230236.83155276
"51","Benny   Agbayani","agbaybe01",2002,"COL","NL",600000,0.2734375,0.3046875,128,182812.5,164062.5,-18750,1,31009000,5439145.54075479,12505686.5908079,73,7066541.05005309
"52","Benny   Agbayani","agbaybe01",2001,"NYN","NL",260000,0.366863905325444,0.248520710059172,338,64615.3846153846,95384.6153846154,30769.2307692308,1,44570595,7557469.71932421,16368100.3605815,82,8810630.6412573
"53","Benny   Agbayani","agbaybe01",1999,"NYN","NL",200000,0.380503144654088,0.213836477987421,318,42767.2955974843,76100.6289308176,33333.3333333333,1,36283928,5769089.56988877,13551268.5902676,97,7782179.02037887
"54","Luis   Aguayo","aguaylu01",1986,"PHI","NL",275000,0.280821917808219,0.198630136986301,146,54623.2876712329,77226.0273972603,22602.7397260274,1,5482666,896862.015514355,2083950.53012304,86,1187088.51460868
"55","Luis   Aguayo","aguaylu01",1988,"PHI","NL",375000,0.348214285714286,0.169642857142857,112,63616.0714285714,130580.357142857,66964.2857142857,1,8713000,1403076.31092698,2999545.41859173,65,1596469.10766475
"56","Luis   Aguayo","aguaylu01",1985,"PHI","NL",237000,0.407960199004975,0.164179104477612,201,38910.447761194,96686.5671641791,57776.1194029851,1,4847633,810195.671872376,1758394.81154942,75,948199.139677048
"57","Luis   Aguayo","aguaylu01",1989,"CLE","AL",275000,0.26605504587156,0.211009174311927,109,58027.5229357798,73165.1376146789,15137.6146788991,1,5173000,874988.845493523,1668805.45232123,73,793816.606827705
"58","Luis   Aguayo","aguaylu01",1987,"PHI","NL",325000,0.28448275862069,0.262931034482759,232,85452.5862068966,92456.8965517241,7004.31034482759,1,7927733,1404872.02721606,2926035.79386747,80,1521163.76665141
"59","Chris   Aguila","aguilch01",2006,"FLO","NL",327000,0.304761904761905,0.266666666666667,105,87200,99657.1428571429,12457.1428571429,1,4928000,1074736.06905275,1750581.1775482,78,675845.108495454
"60","Nick   Ahmed","ahmedni01",2016,"ARI","NL",521600,0.281553398058252,0.216828478964401,309,113097.734627832,146858.252427184,33760.5177993527,1,24774033,6090778.46410201,8817739.51635493,69,2726961.05225292
"61","Nick   Ahmed","ahmedni01",2015,"ARI","NL",508500,0.283516483516484,0.186813186813187,455,94994.5054945055,144168.131868132,49173.6263736264,1,34875500,7626333.31938583,11478425.6657774,79,3852092.34639155
"62","Mike   Aldrete","aldremi01",1988,"SFN","NL",160000,0.38177874186551,0.162689804772234,461,26030.3687635575,61084.5986984816,35054.2299349241,1,5500000,909742.75375392,1848319.39496826,83,938576.641214338
"63","Mike   Aldrete","aldremi01",1986,"SFN","NL",60000,0.3671875,0.14453125,256,8671.875,22031.25,13359.375,1,3793000,670052.334794156,1319568.09423825,83,649515.759444093
"64","Mike   Aldrete","aldremi01",1993,"OAK","AL",200000,0.357388316151203,0.178694158075601,291,35738.8316151203,71477.6632302405,35738.8316151203,1,19867500,3440518.36615479,7692993.41157775,68,4252475.04542295
"65","Mike   Aldrete","aldremi01",1990,"MON","NL",297500,0.396039603960396,0.163366336633663,202,48601.4851485149,117821.782178218,69220.297029703,1,8579888,1405664.81814769,3045182.52783958,85,1639517.70969189
"66","Mike   Aldrete","aldremi01",1989,"MON","NL",202500,0.329113924050633,0.215189873417722,158,43575.9493670886,66645.5696202532,23069.6202531645,1,7220389,1093187.5287159,2638472.40865049,81,1545284.87993459
"67","Mike   Aldrete","aldremi01",1994,"OAK","AL",430000,0.331683168316832,0.183168316831683,202,78762.3762376238,142623.762376238,63861.3861386139,1,18360000,3111992.45810141,6828794.90410372,51,3716802.44600231
"68","Mike   Aldrete","aldremi01",1987,"SFN","NL",75000,0.407862407862408,0.137592137592138,407,10319.4103194103,30589.6805896806,20270.2702702703,1,3550000,600769.670449571,1231008.37018266,90,630238.699733086
"69","Mike   Aldrete","aldremi01",1995,"OAK","AL",430000,0.385135135135135,0.175675675675676,148,75540.5405405405,165608.108108108,90067.5675675676,1,24841223,4322973.16850539,9564235.44583022,67,5241262.27732483
"70","Manny   Alexander","alexama02",2000,"BOS","AL",612500,0.260869565217391,0.198067632850242,207,121316.425120773,159782.608695652,38466.1835748792,1,29097833,4724591.31426607,10622400.5506339,85,5897809.23636785
"71","Manny   Alexander","alexama02",1997,"NYN","NL",205000,0.304347826086957,0.254658385093168,161,52204.9689440994,62391.3043478261,10186.3354037267,1,23841500,3841083.79566768,9086351.2674732,88,5245267.47180552
"72","Manny   Alexander","alexama02",1995,"BAL","AL",130000,0.299242424242424,0.121212121212121,264,15757.5757575758,38901.5151515152,23143.9393939394,1,23126131,3441978.94436184,8556985.61280941,71,5115006.66844758
"73","Manny   Alexander","alexama02",1999,"CHN","NL",475000,0.313829787234043,0.207446808510638,188,98537.2340425532,149069.14893617,50531.914893617,1,37449500,7271896.78987354,13487578.9003616,67,6215682.11048807
"74","Manny   Alexander","alexama02",1998,"CHN","NL",425000,0.284210526315789,0.252631578947368,285,107368.421052632,120789.473684211,13421.0526315789,1,30484500,5752276.25072602,11237515.5881317,90,5485239.33740565
"75","Edgardo   Alfonzo","alfoned01",2004,"SFN","NL",6500000,0.359375,0.0954861111111111,576,620659.722222222,2335937.5,1715277.77777778,2,45601500,4750709.86471647,21957712.8335945,91,17207002.968878
"76","Edgardo   Alfonzo","alfoned01",2002,"NYN","NL",6200000,0.405263157894737,0.105263157894737,570,652631.578947368,2512631.57894737,1860000,2,54554427,10840854.6454022,19138724.8133701,75,8297870.16796794
"77","Edgardo   Alfonzo","alfoned01",1995,"NYN","NL",109000,0.314447592067989,0.124645892351275,353,13586.402266289,34274.7875354108,20688.3852691218,1,12552445,2048429.38118478,4781864.88690431,69,2733435.50571953
"78","Edgardo   Alfonzo","alfoned01",2001,"NYN","NL",5750000,0.332046332046332,0.133204633204633,518,765926.640926641,1909266.40926641,1143339.76833977,2,44570595,7557469.71932421,16368100.3605815,82,8810630.6412573
